№	Вердикт	Ресурсы	Баллы
	1	ok	179ms / 11.41Mb	-
	2	ok	158ms / 10.94Mb	-
	3	ok	159ms / 10.91Mb	-
	4	ok	158ms / 10.94Mb	-
	5	ok	159ms / 10.94Mb	-
	6	ok	182ms / 11.43Mb	-
	7	ok	182ms / 11.43Mb	-
	8	ok	183ms / 11.43Mb	-
	9	ok	159ms / 10.93Mb	-
	10	ok	158ms / 10.94Mb	-
	11	ok	159ms / 10.93Mb	-
	12	ok	183ms / 11.43Mb	-
	13	ok	183ms / 11.44Mb	-
	14	ok	160ms / 10.89Mb	-
	15	ok	183ms / 11.40Mb	-
	16	ok	180ms / 11.43Mb	-
	17	ok	179ms / 11.48Mb	-
	18	ok	179ms / 11.47Mb	-
	19	ok	153ms / 10.83Mb	-
	20	ok	179ms / 11.46Mb	-
	21	ok	182ms / 11.43Mb	-
	22	ok	182ms / 11.43Mb	-
	23	ok	158ms / 10.93Mb	-
	24	ok	158ms / 10.93Mb	-
	25	ok	182ms / 11.43Mb	-
	26	ok	183ms / 11.43Mb	-
	27	ok	179ms / 11.46Mb	-
	28	wrong-answer	183ms / 11.43Mb	-
