№	Вердикт	Ресурсы	Баллы
	1	ok	183ms / 11.41Mb	-
	2	ok	160ms / 10.91Mb	-
	3	ok	160ms / 10.89Mb	-
	4	ok	155ms / 10.80Mb	-
	5	ok	160ms / 10.91Mb	-
	6	ok	185ms / 11.41Mb	-
	7	ok	185ms / 11.41Mb	-
	8	ok	178ms / 11.47Mb	-
	9	ok	160ms / 10.91Mb	-
	10	ok	159ms / 10.92Mb	-
	11	ok	162ms / 10.88Mb	-
	12	ok	186ms / 11.40Mb	-
	13	ok	184ms / 11.42Mb	-
	14	ok	162ms / 10.87Mb	-
	15	ok	185ms / 11.43Mb	-
	16	ok	182ms / 11.41Mb	-
	17	ok	187ms / 11.39Mb	-
	18	ok	183ms / 11.41Mb	-
	19	ok	162ms / 10.89Mb	-
	20	ok	185ms / 11.41Mb	-
	21	ok	184ms / 11.42Mb	-
	22	ok	188ms / 11.48Mb	-
	23	ok	162ms / 10.88Mb	-
	24	ok	162ms / 10.87Mb	-
	25	ok	182ms / 11.41Mb	-
	26	ok	187ms / 11.38Mb	-
	27	ok	182ms / 11.42Mb	-
	28	ok	164ms / 10.86Mb	-
	29	ok	187ms / 11.38Mb	-
	30	ok	186ms / 11.40Mb	-
