№	Вердикт	Ресурсы	Баллы
	1	ok	143ms / 14.03Mb	-
	2	ok	137ms / 14.02Mb	-
	3	ok	138ms / 14.00Mb	-
	4	ok	138ms / 13.98Mb	-
	5	ok	136ms / 14.05Mb	-
	6	ok	136ms / 14.04Mb	-
	7	ok	136ms / 14.05Mb	-
	8	ok	137ms / 14.00Mb	-
	9	ok	136ms / 13.98Mb	-
	10	ok	134ms / 14.02Mb	-
	11	ok	135ms / 14.01Mb	-
	12	ok	138ms / 14.01Mb	-
	13	ok	134ms / 14.02Mb	-
	14	ok	136ms / 14.05Mb	-
	15	ok	133ms / 14.12Mb	-
	16	ok	136ms / 14.04Mb	-
	17	ok	136ms / 14.05Mb	-
	18	ok	135ms / 14.07Mb	-
	19	ok	138ms / 13.98Mb	-
	20	ok	138ms / 13.98Mb	-
	21	ok	135ms / 14.01Mb	-
	22	ok	135ms / 14.02Mb	-
	23	ok	135ms / 14.07Mb	-
	24	ok	133ms / 14.06Mb	-
	25	ok	133ms / 14.05Mb	-
	26	ok	134ms / 14.11Mb	-
	27	ok	133ms / 14.05Mb	-
	28	ok	134ms / 14.03Mb	-
	29	ok	135ms / 14.08Mb	-
	30	ok	135ms / 14.08Mb	-
	31	ok	134ms / 14.09Mb	-
	32	ok	134ms / 14.09Mb	-
	33	ok	137ms / 14.03Mb	-
	34	ok	134ms / 14.08Mb	-
	35	ok	132ms / 14.07Mb	-
	36	ok	133ms / 14.06Mb	-
	37	ok	135ms / 14.08Mb	-
	38	ok	134ms / 14.09Mb	-
	39	ok	134ms / 14.09Mb	-
	40	ok	132ms / 14.06Mb	-
